Año,Trimestre,Provincia,Mbps (miles)
2018,3,Santa Cruz,537
2018,3,Santa Fe,1
2018,3,Santiago Del Estero,578
2018,3,Tierra Del Fuego,599
2018,3,Tucumán,1
2018,2,Buenos Aires,1
2018,2,Capital Federal,1
2018,2,Catamarca,769
2018,2,Chaco,1
2018,2,Chubut,533
2018,2,Córdoba,1
2018,2,Corrientes,1
2018,2,Entre Ríos,1
2018,2,Formosa,897
2018,2,Jujuy,629
2018,2,La Pampa,410
2018,2,La Rioja,559
2018,2,Mendoza,588
2018,2,Misiones,1
2018,2,Neuquén,1
2018,2,Río Negro,951
2018,2,Salta,893
2018,2,San Juan,585
2018,2,San Luis,590
2018,2,Santa Cruz,519
2018,2,Santa Fe,1
2018,2,Santiago Del Estero,591
2018,2,Tierra Del Fuego,594
2018,2,Tucumán,1
2018,1,Buenos Aires,1
2018,1,Capital Federal,1
2018,1,Catamarca,820
2018,1,Chaco,1
2018,1,Chubut,542
2018,1,Córdoba,1
2018,1,Corrientes,1
2018,1,Entre Ríos,988
2018,1,Formosa,1
2018,1,Jujuy,674
2018,1,La Pampa,400
2018,1,La Rioja,589
2018,1,Mendoza,588
2018,1,Misiones,1
2018,1,Neuquén,1
2018,1,Río Negro,898
2018,1,Salta,919
2018,1,San Juan,585
2018,1,San Luis,589
2018,1,Santa Cruz,519
2018,1,Santa Fe,1
2018,1,Santiago Del Estero,625
2018,1,Tierra Del Fuego,577
2018,1,Tucumán,936
2017,4,Buenos Aires,1
2017,4,Capital Federal,1
2017,4,Catamarca,778
2017,4,Chaco,1
2017,4,Chubut,541
2017,4,Córdoba,1
2017,4,Corrientes,1
2017,4,Entre Ríos,930
2017,4,Formosa,1
2017,4,Jujuy,664
2017,4,La Pampa,398
2017,4,La Rioja,588
2017,4,Mendoza,571
2017,4,Misiones,1
2017,4,Neuquén,1
2017,4,Río Negro,805
2017,4,Salta,845
2017,4,San Juan,583
2017,4,San Luis,573
2017,4,Santa Cruz,521
2017,4,Santa Fe,1
2017,4,Santiago Del Estero,617
2017,4,Tierra Del Fuego,520
2017,4,Tucumán,911
2017,3,Buenos Aires,843
2017,3,Capital Federal,1
2017,3,Catamarca,526
2017,3,Chaco,848
2017,3,Chubut,348
2017,3,Córdoba,912
2017,3,Corrientes,745
2017,3,Entre Ríos,699
2017,3,Formosa,707
2017,3,Jujuy,469
2017,3,La Pampa,344
2017,3,La Rioja,501
2017,3,Mendoza,351
2017,3,Misiones,843
2017,3,Neuquén,817
2017,3,Río Negro,549
2017,3,Salta,613
2017,3,San Juan,345
2017,3,San Luis,350
2017,3,Santa Cruz,361
2017,3,Santa Fe,779
2017,3,Santiago Del Estero,518
2017,3,Tierra Del Fuego,348
2017,3,Tucumán,639
2017,2,Buenos Aires,720
2017,2,Capital Federal,884
2017,2,Catamarca,510
2017,2,Chaco,769
2017,2,Chubut,345
2017,2,Córdoba,742
2017,2,Corrientes,679
2017,2,Entre Ríos,629
2017,2,Formosa,618
2017,2,Jujuy,454
2017,2,La Pampa,332
2017,2,La Rioja,553
2017,2,Mendoza,351
2017,2,Misiones,760
2017,2,Neuquén,670
2017,2,Río Negro,474
2017,2,Salta,576
2017,2,San Juan,349
2017,2,San Luis,350
2017,2,Santa Cruz,360
2017,2,Santa Fe,684
2017,2,Santiago Del Estero,506
2017,2,Tierra Del Fuego,348
2017,2,Tucumán,609
2017,1,Buenos Aires,668
2017,1,Capital Federal,835
2017,1,Catamarca,497
2017,1,Chaco,731
2017,1,Chubut,344
2017,1,Córdoba,680
2017,1,Corrientes,643
2017,1,Entre Ríos,595
2017,1,Formosa,574
2017,1,Jujuy,439
2017,1,La Pampa,322
2017,1,La Rioja,543
2017,1,Mendoza,351
2017,1,Misiones,734
2017,1,Neuquén,603
2017,1,Río Negro,445
2017,1,Salta,534
2017,1,San Juan,349
2017,1,San Luis,350
2017,1,Santa Cruz,359
2017,1,Santa Fe,628
2017,1,Santiago Del Estero,495
2017,1,Tierra Del Fuego,348
2017,1,Tucumán,588
2016,4,Buenos Aires,635
2016,4,Capital Federal,796
2016,4,Catamarca,489
2016,4,Chaco,708
2016,4,Chubut,341
2016,4,Córdoba,647
2016,4,Corrientes,624
2016,4,Entre Ríos,581
2016,4,Formosa,563
2016,4,Jujuy,432
2016,4,La Pampa,319
2016,4,La Rioja,534
2016,4,Mendoza,351
2016,4,Misiones,711
2016,4,Neuquén,568
2016,4,Río Negro,437
2016,4,Salta,522
2016,4,San Juan,349
2016,4,San Luis,350
2016,4,Santa Cruz,356
2016,4,Santa Fe,604
2016,4,Santiago Del Estero,487
2016,4,Tierra Del Fuego,348
2016,4,Tucumán,573
2016,3,Buenos Aires,591
2016,3,Capital Federal,738
2016,3,Catamarca,473
2016,3,Chaco,672
2016,3,Chubut,334
2016,3,Córdoba,607
2016,3,Corrientes,596
2016,3,Entre Ríos,559
2016,3,Formosa,542
2016,3,Jujuy,422
2016,3,La Pampa,314
2016,3,La Rioja,508
2016,3,Mendoza,351
2016,3,Misiones,674
2016,3,Neuquén,529
2016,3,Río Negro,416
2016,3,Salta,505
2016,3,San Juan,349
2016,3,San Luis,350
2016,3,Santa Cruz,354
2016,3,Santa Fe,568
2016,3,Santiago Del Estero,467
2016,3,Tierra Del Fuego,348
2016,3,Tucumán,554
2016,2,Buenos Aires,542
2016,2,Capital Federal,658
2016,2,Catamarca,436
2016,2,Chaco,630
2016,2,Chubut,334
2016,2,Córdoba,552
2016,2,Corrientes,560
2016,2,Entre Ríos,513
2016,2,Formosa,510
2016,2,Jujuy,384
2016,2,La Pampa,315
2016,2,La Rioja,477
2016,2,Mendoza,350
2016,2,Misiones,623
2016,2,Neuquén,487
2016,2,Río Negro,398
2016,2,Salta,475
2016,2,San Juan,349
2016,2,San Luis,350
2016,2,Santa Cruz,350
2016,2,Santa Fe,514
2016,2,Santiago Del Estero,431
2016,2,Tierra Del Fuego,348
2016,2,Tucumán,520
2016,1,Buenos Aires,499
2016,1,Capital Federal,605
2016,1,Catamarca,420
2016,1,Chaco,599
2016,1,Chubut,338
2016,1,Córdoba,516
2016,1,Corrientes,537
2016,1,Entre Ríos,508
2016,1,Formosa,487
2016,1,Jujuy,377
2016,1,La Pampa,305
2016,1,La Rioja,462
2016,1,Mendoza,350
2016,1,Misiones,600
2016,1,Neuquén,442
2016,1,Río Negro,383
2016,1,Salta,474
2016,1,San Juan,349
2016,1,San Luis,350
2016,1,Santa Cruz,348
2016,1,Santa Fe,490
2016,1,Santiago Del Estero,417
2016,1,Tierra Del Fuego,348
2016,1,Tucumán,500
2015,4,Buenos Aires,488
2015,4,Capital Federal,593
2015,4,Catamarca,412
2015,4,Chaco,583
2015,4,Chubut,328
2015,4,Córdoba,507
2015,4,Corrientes,526
2015,4,Entre Ríos,501
2015,4,Formosa,466
2015,4,Jujuy,372
2015,4,La Pampa,294
2015,4,La Rioja,452
2015,4,Mendoza,350
2015,4,Misiones,590
2015,4,Neuquén,436
2015,4,Río Negro,377
2015,4,Salta,467
2015,4,San Juan,348
2015,4,San Luis,350
2015,4,Santa Cruz,348
2015,4,Santa Fe,481
2015,4,Santiago Del Estero,409
2015,4,Tierra Del Fuego,347
2015,4,Tucumán,488
2015,3,Buenos Aires,470
2015,3,Capital Federal,566
2015,3,Catamarca,388
2015,3,Chaco,547
2015,3,Chubut,328
2015,3,Córdoba,487
2015,3,Corrientes,506
2015,3,Entre Ríos,477
2015,3,Formosa,417
2015,3,Jujuy,353
2015,3,La Pampa,291
2015,3,La Rioja,425
2015,3,Mendoza,350
2015,3,Misiones,563
2015,3,Neuquén,423
2015,3,Río Negro,374
2015,3,Salta,442
2015,3,San Juan,348
2015,3,San Luis,350
2015,3,Santa Cruz,348
2015,3,Santa Fe,456
2015,3,Santiago Del Estero,391
2015,3,Tierra Del Fuego,348
2015,3,Tucumán,457
2015,2,Buenos Aires,446
2015,2,Capital Federal,531
2015,2,Catamarca,368
2015,2,Chaco,519
2015,2,Chubut,322
2015,2,Córdoba,456
2015,2,Corrientes,485
2015,2,Entre Ríos,455
2015,2,Formosa,376
2015,2,Jujuy,341
2015,2,La Pampa,286
2015,2,La Rioja,400
2015,2,Mendoza,350
2015,2,Misiones,533
2015,2,Neuquén,406
2015,2,Río Negro,367
2015,2,Salta,422
2015,2,San Juan,348
2015,2,San Luis,350
2015,2,Santa Cruz,347
2015,2,Santa Fe,430
2015,2,Santiago Del Estero,373
2015,2,Tierra Del Fuego,348
2015,2,Tucumán,431
2015,1,Buenos Aires,432
2015,1,Capital Federal,500
2015,1,Catamarca,348
2015,1,Chaco,490
2015,1,Chubut,321
2015,1,Córdoba,430
2015,1,Corrientes,463
2015,1,Entre Ríos,435
2015,1,Formosa,338
2015,1,Jujuy,324
2015,1,La Pampa,283
2015,1,La Rioja,378
2015,1,Mendoza,350
2015,1,Misiones,497
2015,1,Neuquén,391
2015,1,Río Negro,359
2015,1,Salta,402
